facility_id,facility_name,category_main,category_detail,address,gu_name,dong_name,capacity,source_file,lon,lat,road_address,jibun_address,geocode_status,geocode_provider,geocode_query,geocode_error,geocode_sido,geocode_gu,geocode_dong,kakao_address_type,kakao_h_code,kakao_b_code,kakao_building_name,kakao_zone_no,grid_id,grid_id_50m
L-C0000008933,천주교불광동성당노인교실,여가,(노인복지시설) 노인교실,서울특별시 은평구 통일로 786 (불광동),은평구,불광동,,04_노인여가복지시설.csv,126.926403471862,37.6152587237889,서울 은평구 통일로 786,서울 은평구 불광동 286-53,OK,kakao,서울특별시 은평구 통일로 786 (불광동),,서울,은평구,불광1동,ROAD_ADDR,1138052000.0,1138010300.0,천주교불광동교회,3357.0,L-15,G50-00232-00329
L-C0000008938,응암교회노인교실,여가,(노인복지시설) 노인교실,서울특별시 은평구 은평로16길 11 (응암동),은평구,응암동,,04_노인여가복지시설.csv,126.930068069923,37.5998352012159,서울 은평구 은평로16길 11,서울 은평구 응암동 68-1,OK,kakao,서울특별시 은평구 은평로16길 11 (응암동),,서울,은평구,응암1동,ROAD_ADDR,1138058000.0,1138010700.0,응암교회,3472.0,M-15,G50-00266-00335
L-C0000008976,응암 시니어 아카데미,여가,(노인복지시설) 노인교실,서울특별시 은평구 가좌로 200 (응암동),은평구,응암동,,04_노인여가복지시설.csv,126.919684583676,37.5885698925124,서울 은평구 가좌로 200,서울 은평구 응암동 338-2,OK,kakao,서울특별시 은평구 가좌로 200 (응암동),,서울,은평구,응암3동,ROAD_ADDR,1138060000.0,1138010700.0,,3470.0,O-14,G50-00291-00317
L-C0000008980,늘푸른교실,여가,(노인복지시설) 노인교실,서울특별시 은평구 갈현로35길 12-13 (갈현동),은평구,갈현동,,04_노인여가복지시설.csv,126.915726753528,37.6218895192288,서울 은평구 갈현로35길 12-13,서울 은평구 갈현동 444-7,OK,kakao,서울특별시 은평구 갈현로35길 12-13 (갈현동),,서울,은평구,갈현1동,ROAD_ADDR,1138055100.0,1138010400.0,여의도순복음교회은평성전,3320.0,K-14,G50-00217-00310
L-C0000009087,서광 어르신대학,여가,(노인복지시설) 노인교실,서울특별시 은평구 통일로 951 (갈현동),은평구,갈현동,,04_노인여가복지시설.csv,126.919185124303,37.6277461902526,서울 은평구 통일로 951,서울 은평구 갈현동 1-29,OK,kakao,서울특별시 은평구 통일로 951 (갈현동),,서울,은평구,갈현1동,ROAD_ADDR,1138055100.0,1138010400.0,서광교회,3314.0,J-14,G50-00204-00316
L-C0000010954,아현노인교실,여가,(노인복지시설) 노인교실,서울특별시 서대문구 신촌로 293 (북아현동),서대문구,북아현동,,04_노인여가복지시설.csv,126.958803994595,37.5577056355206,서울 서대문구 신촌로 293,서울 서대문구 북아현동 126-10,OK,kakao,서울특별시 서대문구 신촌로 293 (북아현동),,서울,서대문구,북아현동,ROAD_ADDR,1141055500.0,1141011000.0,아현감리교회,3758.0,R-18,G50-00360-00386
L-C0000011022,바오로시니어대학,여가,(노인복지시설) 노인교실,서울특별시 서대문구 연희로 64-14 (연희동),서대문구,연희동,,04_노인여가복지시설.csv,126.929452000384,37.5634048757431,서울 서대문구 연희로 64-14,서울 서대문구 연희동 334-37,OK,kakao,서울특별시 서대문구 연희로 64-14 (연희동),,서울,서대문구,연희동,ROAD_ADDR,1141061500.0,1141011700.0,연희동천주교회,3727.0,Q-15,G50-00347-00334
L-C0000011028,연희교회노인교실,여가,(노인복지시설) 노인교실,서울특별시 서대문구 연희로10길 17-6 (연희동),서대문구,연희동,,04_노인여가복지시설.csv,126.932307330166,37.5661542249597,서울 서대문구 연희로10길 17-6,서울 서대문구 연희동 301-1,OK,kakao,서울특별시 서대문구 연희로10길 17-6 (연희동),,서울,서대문구,연희동,ROAD_ADDR,1141061500.0,1141011700.0,연희교회,3725.0,Q-15,G50-00341-00339
L-C0000011082,아현동성당노인대학,여가,(노인복지시설) 노인교실,서울특별시 서대문구 북아현로4나길 17 (북아현동),서대문구,북아현동,,04_노인여가복지시설.csv,126.957613521436,37.5586459452881,서울 서대문구 북아현로4나길 17,서울 서대문구 북아현동 9-1,OK,kakao,서울특별시 서대문구 북아현로4나길 17 (북아현동),,서울,서대문구,북아현동,ROAD_ADDR,1141055500.0,1141011000.0,천주교아현동교회,3757.0,R-18,G50-00358-00384
L-C0000011288,베드로노인교실,여가,(노인복지시설) 노인교실,서울특별시 마포구 마포대로14길 15-1 (공덕동),마포구,공덕동,,04_노인여가복지시설.csv,126.956251981668,37.5487827658674,서울 마포구 마포대로14길 15-1,서울 마포구 공덕동 105-233,OK,kakao,서울특별시 마포구 마포대로14길 15-1 (공덕동),,서울,마포구,공덕동,ROAD_ADDR,1144056500.0,1144010200.0,공덕동성당,4207.0,S-17,G50-00380-00381
L-C0000011363,천주교등촌성당 요셉노인교실,여가,(노인복지시설) 노인교실,서울특별시 양천구 목동중앙북로8길 41 (목동),양천구,목동,,04_노인여가복지시설.csv,126.865591047446,37.5467524483446,서울 양천구 목동중앙북로8길 41,서울 양천구 목동 626-15,OK,kakao,서울특별시 양천구 목동중앙북로8길 41 (목동),,서울,양천구,목3동,ROAD_ADDR,1147053000.0,1147010200.0,천주교 목3동 성당,7950.0,S-9,G50-00384-00221
L-C0000011381,해나리은빛 노인교실,여가,(노인복지시설) 노인교실,서울특별시 양천구 목동동로 353 (목동),양천구,목동,,04_노인여가복지시설.csv,126.876998920344,37.5333371974717,서울 양천구 목동동로 353,서울 양천구 목동 905-3,OK,kakao,서울특별시 양천구 목동동로 353 (목동),,서울,양천구,목5동,ROAD_ADDR,1147055000.0,1147010200.0,,7988.0,U-10,G50-00414-00241
L-C0000011401,산돌노인교실,여가,(노인복지시설) 노인교실,서울특별시 양천구 오목로 270 (목동),양천구,목동,,04_노인여가복지시설.csv,126.867358003098,37.5253752485269,서울 양천구 오목로 270,서울 양천구 목동 927-3,OK,kakao,서울특별시 양천구 오목로 270 (목동),,서울,양천구,목1동,ROAD_ADDR,1147051000.0,1147010200.0,산돌교회,8002.0,V-10,G50-00432-00224
L-C0000011402,등촌교회 노인교실,여가,(노인복지시설) 노인교실,서울특별시 양천구 목동중앙북로8길 49 (목동),양천구,목동,,04_노인여가복지시설.csv,126.865468039047,37.5463765018484,서울 양천구 목동중앙북로8길 49,서울 양천구 목동 626-19,OK,kakao,서울특별시 양천구 목동중앙북로8길 49 (목동),,서울,양천구,목3동,ROAD_ADDR,1147053000.0,1147010200.0,등촌교회,7950.0,S-9,G50-00385-00221
L-C0000011404,목동성당 로사리오 노인교실,여가,(노인복지시설) 노인교실,서울특별시 양천구 목동서로 271 (신정동),양천구,신정동,,04_노인여가복지시설.csv,126.869592530517,37.5229553935565,서울 양천구 목동서로 271,서울 양천구 신정동 318,OK,kakao,서울특별시 양천구 목동서로 271 (신정동),,서울,양천구,신정6동,ROAD_ADDR,1147067000.0,1147010100.0,,8011.0,V-10,G50-00437-00228
