name,address,gu_raw
사근제5경로당,"사근동길 20-18, 지하 101호",성동구
행당두산(아)경로당,"고산자로14길 40(행당1동, 행당두산아파트) 관리사무소 1층",성동구
행당삼부(아)경로당,"왕십리로 280(행당1동, 행당삼부아파트) 관리사무소 2층",성동구
행당한신(아)제1경로당,"고산자로 164(행당1동, 행당한신아파트) 행당한신어린이집 1층",성동구
행당한신(아)제2경로당,"고산자로 164(행당1동, 행당한신아파트) 201동 1층",성동구
무학봉경로당,무학봉18길 4-2(행당1동),성동구
리버뷰자이(아)경로당,"고산자로2길 65(행당1동, 서울숲리버뷰자이) 리버뷰자이 어린이집 옆",성동구
행당제2경로당,"행당로11길 14-9, 302호(행당2동, 스위스빌라)",성동구
행당신동아(아)경로당,"독서당로 441(행당2동, 행당신동아아파트) 104동 옆",성동구
행당두산위브(아)경로당,"행당로8길 8(행당2동, 행당두산위브아파트) 관리사무소 1층",성동구
"행당두산위브(아)
제2경로당","행당로8길 8(행당2동, 행당두산위브아파트) 201동 1층",성동구
행당대림(아)제1경로당,"행당로 79(행당2동, 행당대림아파트) 관리사무소 1층",성동구
행당대림(아)제2경로당,"행당로 79(행당2동, 행당대림아파트) 임대관리사무소 1층",성동구
행당한진(아)제1경로당,"행당로 82(행당2동, 행당한진아파트) 106동 뒤편",성동구
행당한진(아)제2경로당,"행당로 82(행당2동, 행당한진아파트) 행당어린이집 1층",성동구
"서울숲행당푸르지오(아)
경로당","고산자로 177(행당2동, 서울숲행당푸르지오아파트) 104동 1층",성동구
행현경로당,행당로11길 20(행당2동),성동구
응봉경로당,독서당로59길 39(응봉동),성동구
상봉경로당,독서당로59다길 32(응봉동),성동구
대림1차(아)경로당,"독서당로62길 43(응봉동, 대림1차아파트) 8동 앞",성동구
대림2차(아)경로당,"독서당로 431(응봉동, 대림2차아파트) 101동 뒤",성동구
현대(아)경로당,"독서당로 377(응봉동, 현대아파트) 101동 앞",성동구
"대림강변타운(아)
경로당","고산자로 160(응봉동, 대림강변타운아파트) 관리사무소 1층",성동구
신동아(아)경로당,"독서당로 375(응봉동, 신동아아파트) 104동 앞",성동구
"리버그린동아(아)
경로당","고산자로4길 34(응봉동, 리버그린동아아파트) 관리사무소 1층",성동구
광희경로당,독서당로62길 22-15,성동구
금일경로당,금호로 172-1 대현경로복지관 금일경로당(금호1가동),성동구
금난경로당,독서당로51길 10(금호1가동),성동구
"효사랑(두산위브)
경로당","행당로 27(금호1가동, 신금호두산위브아파트) 103동 1층",성동구
"금호벽산(아)제1
경로당","금호로 102(금호1가동, 금호벽산아파트) 관리사무소 4층",성동구
"금호벽산(아)제2
경로당","금호로 100(금호1가동, 금호벽산아파트) 505동 옆",성동구
"금호삼성래미안(아)
경로당","독서당로 343(금호1가동, 금호삼성래미안아파트)",성동구
"e편한세상
금호파크힐스경로당","금호로 140(금호1가동, e편한세상금호파크힐스아파트) 104동 옆",성동구
"금호파크힐스(아)
제2경로당","금호로 110(금호1가동, 117동) 117동 1층",성동구
금북경로당,"무수막길 87-4(금호2,3가동)",성동구
금남경로당,"금호산길 5-15(금호2,3가동)",성동구
금호3가경로당,"장터3길 1, 2층, 3층(금호2,3가동)",성동구
"금호1차푸르지오
경로당","금호산8길 5(금호2,3가동, 금호1차푸르지오아파트) 아파트 입구 관리사무소 1층",성동구
두산(아)경로당,"동호로 100(금호2,3가동, 두산아파트) 108동 옆 관리사무소 1층",성동구
금호자이1차경로당,"금호로 117(금호2,3가동, 금호자이1차아파트) 구립 어린이집 옆",성동구
금호자이2차경로당,"금호산8길 14(금호2,3가동, 금호자이2차아파트) 관리사무소 1층",성동구
"금호하이리버(아)
경로당","금호로 107(금호2,3가동, 래미안하이리버아파트) 커뮤니티센터 지하 1층",성동구
"하이리버 2차(아)
경로당","금호로 111(금호2,3가동, 하이리버아파트) 201동 1층",성동구
"신금호파크자이(아)
경로당","금호로 173(금호2,3,가동, 신금호파크자이) 관리사무소 1층",성동구
신금호경로당,"무수막10길 4(금호2,3가동)",성동구
정우회경로당,금호로3길 18-60(금호4가동),성동구
"서울숲푸르지오(아)
경로당","금호로 15(금호4가동, 서울숲푸르지오아파트) 서울숲미래연어린이집 1층",성동구
"서울숲푸르지오2차
경로당","금호로 17(금호4가동, 서울숲푸르지오2차아파트)",성동구
"금호브라운스톤
경로당","매봉길 24(금호4가동, 금호브라운스톤아파트) 101동 103동 사이",성동구
금호대우(아)경로당,"독서당로 272(금호4가동, 금호대우아파트) 관리사무소 1층",성동구
"금호대우제2(아)
경로당","독서당로 272(금호4가동, 금호대우아파트) 임대관리사무소 지하1층",성동구
"금호롯데캐슬(아)
경로당","동호로 84(금호4가동, 금호롯데캐슬아파트) 관리사무소 1층",성동구
금강경로당,독서당로47가길 16-19(금호4가동),성동구
무쇠막경로당,"금호로3길 11(금호4가동, 서울숲2차푸르지오아파트) 212동 앞",성동구
"힐스테이트
서울숲리버경로당","독서당로 344(금호4가동, 힐스테이트서울숲리버) 114동 옆 어린이집 건물 2층",성동구
옥수실버문화센터,한림말길 49(옥수동),성동구
극동(아)경로당,"독서당로 191(옥수동, 극동아파트) 2동 옆",성동구
현대(아)경로당,"독서당로40길 25(옥수동, 현대아파트) 101동 앞",성동구
"한남하이츠(아)
경로당","독서당로 156(옥수동, 한남하이츠아파트) 6동 옆",성동구
"극동그린(아)
경로당","독서당로 175(옥수동, 극동그린아파트) 관리사무소 3층",성동구
유정경로당,"한림말길 50(옥수동, 옥수하이츠아파트) 110동 지하1층",성동구
"옥수하이츠(아)
경로당","한림말길 50(옥수동, 옥수하이츠아파트) 관리사무소 2층",성동구
옥향경로당,"독서당로 218(옥수동, 삼성아파트) 111동 옆",성동구
옥수삼성(아)경로당,"독서당로 218(옥수동, 삼성아파트) 102동 앞",성동구
한림정경로당,"독서당로 218(옥수동, 삼성아파트) 109동 앞 놀이터",성동구
옥수풍림(아)경로당,"뚝섬로 51(옥수동, 풍림아파트) 101동 지하1층",성동구
옥수리버젠 제1경로당,"매봉길 15(옥수동, 옥수리버젠아파트)",성동구
옥수리버젠 제2경로당,"매봉길 17(옥수동, 옥수리버젠아파트) 203동 앞",성동구
옥수파크경로당,"매봉길 50(옥수동, 옥수파크힐스아파트) 107동 옆",성동구
옥수힐스경로당,"매봉길 50(옥수동, 옥수파크힐스아파트) 118동",성동구
성수1가1동경로당,성덕정9길 8-1(성수1가1동),성동구
서울숲실버문화센터,"성동구 뚝섬로1길 2, 2층(성수1가1동)",성동구
동아(아)경로당,"왕십리로 80(성수1가1동, 동아아파트) 110동 옆",성동구
구립새촌경로당,성수일로3길 3-10(성수1가1동),성동구
새촌할머니경로당,성수일로3길 5-16(성수1가1동),성동구
한진타운(아)경로당,"뚝섬로 310(성수1가1동, 한진타운아파트) 관리사무소 1층",성동구
성수현대그린(아)경로당,"뚝섬로3길 8(성수1가1동, 성수현대그린아파트) 102동 1층",성동구
대림로즈빌(아)경로당,"뚝섬로 311(성수1가1동, 대림로즈빌아파트) 105동 1층",성동구
강변건영(아)경로당,"왕십리로 36(성수1가1동, 강변건영아파트) 관리사무소 1층",성동구
성수금호3차(아)경로당,"뚝섬로5길 17(성수1가1동, 성수금호3차아파트) 관리사무소 1층",성동구
강변동양(아)경로당,"둘레길 21(성수1가1동, 강변동양아파트) 101동 지하1층",성동구
"트리마제 
시니어라운지","왕십리로 16(성수1가1동, 트리마제)",성동구
한양현대(아)경로당,"상원1길 17(성수1가2동, 한양현대아파트) 관리사무소 1층",성동구
성원경로당,상원10길 21(성수1가2동),성동구
상원경로당,왕십리로16길 6(성수1가2동),성동구
서울숲경로당,"왕십리로 101(성수1가2동, 5F~6F)",성동구
성수쌍용(아)경로당,"상원길 63(성수1가2동, 성수쌍용아파트) 105동 뒤",성동구
동아그린(아)경로당,"상원길 76(성수1가2동, 동아그린아파트) 101동",성동구
성수대우2차(아)경로당,"상원6길 16(성수1가2동, 성수대우2차아파트) 103동 옆",성동구
뚝섬중앙하이츠빌,"상원길 47(성수1가2동, 뚝섬중앙하이츠빌아파트) 101동 옆",성동구
뚝섬실버문화센터,성수이로 2(성수2가1동),성동구
중앙경로당,둘레9가길 23 상록연립 나동 201호,성동구
청구강변경로당,"둘레15길 7(성수2가1동, 청구강변아파트) 관리사무소 2층",성동구
한강한신(아)경로당,"성수이로 3(성수2가1동, 한강한신아파트) 관리사무소 1층",성동구
강변임광(아)경로당,"둘레19길 5(성수2가1동, 강변임광아파트) 관리사무소 1층",성동구
두산위브(아)경로당,"뚝섬로 434(성수2가1동, 두산위브아파트) 관리사무소 1층",성동구
신성노바빌(아)경로당,"뚝섬로13길 11(성수2가1동, 신성노바빌아파트) 관리사무소 1층",성동구
정안경로당,뚝섬로17길 12(성수2가1동),성동구
강변현대(아)경로당,둘레11길 1(성수2가1동) 관리사무소 1층,성동구
성삼경로당,광나루로2길 35(성수2가3동) 동주민센터 3층,성동구
경동할머니경로당,연무장1길 14-1(성수2가3동),성동구
경동경로당,연무장길 9-8(성수2가3동),성동구
금호2차(아)경로당,"연무장길 31-1(성수2가3동, 금호2차아파트) 관리사무소 1층",성동구
성수1차대우(아)경로당,"동일로 143(성수2가3동, 성수1차대우아파트) 관리사무소 1층",성동구
"성수2차 우방(아)
경로당","성수일로10길 3(성수2가3동, 성수2차우방아파트) 관리사무소 1층",성동구
"성수아이파크(아)
경로당","성수이로 137(성수2가3동, 성수아이파크아파트) 관리사무소 1층",성동구
"성수롯데캐슬파크아파트
경로당","성수일로8길 47(성수2가3동, 성수롯데캐슬파크아파트) 관리사무소 1층",성동구
금강아미움경로당,"아차산로9길 34(성수2가3동, 금강에스쁘아아파트) 관리사무소 1층",성동구
성실경로당,광나루로 240-17 반지층 2호,성동구
송정동경로당,송정길 93-2(송정동),성동구
송일경로당,동일로43길 15-22(송정동),성동구
송정동건영(아)경로당,"동일로 263(송정동, 건영아파트) 101동 옆",성동구
송정동아이파크경로당,"동일로 237(송정동, 송정동아이파크아파트) 104동 앞",성동구
새말경로당,동일로55가길 9(송정동),성동구
송현경로당,송정12나길 15(송정동),성동구
용답 1 경로당,용답중앙길 89-1(용답동),성동구
용답 2 경로당,용답중앙길 49(용답동),성동구
중앙하이츠(아)경로당,"용답중앙27길 10(용답동, 중앙하이츠아파트) 관리사무소 1층",성동구
용화경로당,"천호대로78길 42(용답동), 용답동노인복지센터 1층",성동구
금호한신실버문화센터,서울시 성동구 금호산길 27,성동구
중곡1동 제1 경로당,"광진구 긴고랑로5길 10 (중곡동, 중곡1동 제1경로당)",광진구
중곡1동 제2 경로당,"광진구 긴고랑로8길 51 (중곡동, 중곡1동 제2경로당)",광진구
한마음 경로당,"광진구 긴고랑로22길 39-4 (중곡동, 한마음경로당)",광진구
장수 경로당,"광진구 긴고랑로31길 44 (중곡동, 장수경로당)",광진구
용마 경로당,"광진구 용마산로31길 38-8 (중곡동, 용마경로당)",광진구
중곡3동 경로당,"광진구 동일로80길 20 (중곡동, 중곡3동 경로당)",광진구
중곡4동 경로당,"광진구 긴고랑로39길 57 (중곡동, 중곡4동 경로당)",광진구
용곡 경로당,"광진구 용마산로28길 31 (중곡동, 용곡경로당)",광진구
대원 경로당,"광진구 긴고랑로36길 57-27 (중곡동, 대원경로당)",광진구
신향빌라 경로당,"광진구 용마산로24길 13 (중곡동, 신향빌라 경로당)",광진구
능동 경로당,"광진구 천호대로112길 70 (능동, 능동경로당)",광진구
구의 경로당,"광진구 광나루로40길 6 (구의동, 구의경로당)",광진구
명성 경로당,"광진구 자양로26길 20-5 (구의동, 명성경로당)",광진구
