rest_id,kind,name,address,area_m2,lon,lat,source_file
R-00121,cool_shelter,말미경로당,서울특별시 금천구 범안로17길 22,199.0,126.8944192,37.4675016,03_seoul_cool_shelter.csv
R-00122,cool_shelter,관악중앙도서관,서울특별시 관악구 신림로3길 35 (관악문화재단),1440.0,126.944805,37.467515,03_seoul_cool_shelter.csv
R-00123,cool_shelter,독산4동주민센터,서울특별시 금천구 독산로 232 (독산4동주민센터),33.0,126.902149,37.46756,03_seoul_cool_shelter.csv
R-00124,cool_shelter,은곡시니어센터,서울특별시 강남구 헌릉로571길 48,63.0,127.099737,37.467851,03_seoul_cool_shelter.csv
R-00125,cool_shelter,은곡경로당,서울특별시 강남구 헌릉로571길 48,42.0,127.09967,37.467894,03_seoul_cool_shelter.csv
R-00126,cool_shelter,인헌(아)경로당,서울특별시 관악구 낙성대로15길 66,31.0,126.962555,37.468064,03_seoul_cool_shelter.csv
R-00127,cool_shelter,금천구장애인돌봄쉼터,서울특별시 금천구 두산로 70 (독산동),110.0,126.8954909,37.4684548,03_seoul_cool_shelter.csv
R-00128,cool_shelter,진도3차아파트경로당,서울특별시 금천구 범안로17길 41 (진도3차아파트 진도3차아파트),,126.893454,37.468504,03_seoul_cool_shelter.csv
R-00129,cool_shelter,반석푸른숲경로당,서울특별시 관악구 인헌16다길 14 (반석푸른숲아파트 102동),41.0,126.965627,37.468692,03_seoul_cool_shelter.csv
R-00130,cool_shelter,금천뮤지컬센터,서울특별시 금천구 시흥대로115길 48 (독산동),32.0,126.8938494,37.4689402,03_seoul_cool_shelter.csv
R-00131,cool_shelter,세곡동주민센터,서울특별시 강남구  밤고개로  286   (율현동),160.0,127.1069115,37.4690495,03_seoul_cool_shelter.csv
R-00132,cool_shelter,정심경로당,서울특별시 금천구 독산로75길 12-7 (정심경로당 소망공원),117.0,126.901665,37.469376,03_seoul_cool_shelter.csv
R-00133,cool_shelter,서초구립우면동경로당,서울특별시 서초구 바우뫼로4길 6 (우면동),195.0,127.025483,37.4694165,03_seoul_cool_shelter.csv
R-00134,cool_shelter,감로천경로당,서울특별시 금천구 독산로72길 86-5 (독산동),150.0,126.9064,37.4695,03_seoul_cool_shelter.csv
R-00135,cool_shelter,금천호암노인종합복지관,서울특별시 금천구 독산로72길 86-5,779.0,126.906447,37.4695383,03_seoul_cool_shelter.csv
R-00136,cool_shelter,임광관악파크(아)경로당,서울특별시 관악구 난곡로 167 (임광관악파크아파트 101동),59.0,126.919186,37.469681,03_seoul_cool_shelter.csv
R-00137,cool_shelter,화훼마을경로당,서울특별시 송파구 성남대로 1565,112.5,127.125497,37.469873,03_seoul_cool_shelter.csv
R-00138,cool_shelter,우림경로당,서울특별시 관악구 난곡로24가길 19-4,268.0,126.921772,37.469943,03_seoul_cool_shelter.csv
R-00139,cool_shelter,무궁화경로당,서울특별시 관악구 난곡로26다길 17,246.0,126.9245169,37.4700094,03_seoul_cool_shelter.csv
R-00140,cool_shelter,성모자애복지관,서울특별시 강남구 헌릉로757길 35 (성모자애장애인 복지관),93.0,127.119476,37.470045,03_seoul_cool_shelter.csv
R-00141,cool_shelter,삼성동주민센터,서울특별시 관악구 호암로 589 (신림동),210.25,126.9329724,37.470099,03_seoul_cool_shelter.csv
R-00142,cool_shelter,금천구민문화체육센터,서울특별시 금천구 독산로54길 188 (금천구민문화체육센터),40.0,126.907263,37.470138,03_seoul_cool_shelter.csv
